[73,4]	7.300000e-02	7.293518e-02	7.293518e-02	1.860083e-09
[74,4]	7.400000e-02	7.393248e-02	7.393248e-02	2.346120e-09
[75,4]	7.500000e-02	7.492971e-02	7.492970e-02	2.788096e-09
[76,4]	7.600000e-02	7.592686e-02	7.592686e-02	3.175425e-09
[77,4]	7.700000e-02	7.692393e-02	7.692393e-02	3.497595e-09
[78,4]	7.800000e-02	7.792093e-02	7.792093e-02	3.744170e-09
[79,4]	7.900000e-02	7.891785e-02	7.891785e-02	3.904789e-09
[80,4]	8.000000e-02	7.991469e-02	7.991469e-02	3.969173e-09
[81,5]	8.100000e-02	8.091146e-02	8.091145e-02	3.930455e-09
[82,5]	8.200000e-02	8.190814e-02	8.190813e-02	3.795202e-09
[83,5]	8.300000e-02	8.290473e-02	8.290473e-02	3.573397e-09
[84,5]	8.400000e-02	8.390125e-02	8.390125e-02	3.275106e-09
[85,5]	8.500000e-02	8.489768e-02	8.489768e-02	2.910476e-09
[86,5]	8.600000e-02	8.589403e-02	8.589403e-02	2.489742e-09
[87,5]	8.700000e-02	8.689029e-02	8.689029e-02	2.023220e-09
[88,5]	8.800000e-02	8.788647e-02	8.788646e-02	1.521314e-09
[89,5]	8.900000e-02	8.888255e-02	8.888255e-02	9.945127e-10
[90,5]	9.000000e-02	8.987855e-02	8.987855e-02	4.533954e-10
[91,5]	9.100000e-02	9.087446e-02	9.087446e-02	9.137124e-11
[92,5]	9.200000e-02	9.187027e-02	9.187027e-02	6.290305e-10
[93,5]	9.300000e-02	9.286600e-02	9.286600e-02	1.148735e-09
[94,5]	9.400000e-02	9.386163e-02	9.386163e-02	1.639544e-09
[95,5]	9.500000e-02	9.485717e-02	9.485717e-02	2.090427e-09
[96,5]	9.600000e-02	9.585261e-02	9.585261e-02	2.490256e-09
[97,5]	9.700000e-02	9.684796e-02	9.684796e-02	2.827810e-09
[98,5]	9.800000e-02	9.784321e-02	9.784321e-02	3.091773e-09
[99,5]	9.900000e-02	9.883836e-02	9.883837e-02	3.270731e-09
[100,5]	1.000000e-01	9.983342e-02	9.983342e-02	3.353172e-09
[101,6]	1.010000e-01	1.008284e-01	1.008284e-01	3.330812e-09
[102,6]	1.020000e-01	1.018232e-01	1.018232e-01	3.208575e-09
[103,6]	1.030000e-01	1.028180e-01	1.028180e-01	2.994610e-09
[104,6]	1.040000e-01	1.038126e-01	1.038126e-01	2.696966e-09
[105,6]	1.050000e-01	1.048072e-01	1.048072e-01	2.323586e-09
[106,6]	1.060000e-01	1.058016e-01	1.058016e-01	1.882313e-09
[107,6]	1.070000e-01	1.067959e-01	1.067959e-01	1.380883e-09
[108,6]	1.080000e-01	1.077902e-01	1.077902e-01	8.269252e-10
[109,6]	1.090000e-01	1.087843e-01	1.087843e-01	2.279645e-10
[110,6]	1.100000e-01	1.097783e-01	1.097783e-01	4.085834e-10
[111,6]	1.110000e-01	1.107722e-01	1.107722e-01	1.075411e-09
[112,6]	1.120000e-01	1.117660e-01	1.117660e-01	1.765322e-09
[113,6]	1.130000e-01	1.127597e-01	1.127597e-01	2.471229e-09
[114,6]	1.140000e-01	1.137532e-01	1.137532e-01	3.186158e-09
[115,6]	1.150000e-01	1.147467e-01	1.147467e-01	3.903245e-09
[116,6]	1.160000e-01	1.157400e-01	1.157400e-01	4.615744e-09
[117,6]	1.170000e-01	1.167332e-01	1.167332e-01	5.317020e-09
[118,6]	1.180000e-01	1.177264e-01	1.177263e-01	6.000556e-09
[119,6]	1.190000e-01	1.187193e-01	1.187193e-01	6.659950e-09
[120,6]	1.200000e-01	1.197122e-01	1.197122e-01	7.288919e-09
[121,7]	1.210000e-01	1.207050e-01	1.207049e-01	7.882519e-09
[122,7]	1.220000e-01	1.216976e-01	1.216976e-01	8.440801e-09
[123,7]	1.230000e-01	1.226901e-01	1.226901e-01	8.965161e-09
[124,7]	1.240000e-01	1.236825e-01	1.236825e-01	9.457112e-09
[125,7]	1.250000e-01	1.246747e-01	1.246747e-01	9.918292e-09
[126,7]	1.260000e-01	1.256669e-01	1.256669e-01	1.035046e-08
[127,7]	1.270000e-01	1.266589e-01	1.266589e-01	1.075551e-08
[128,7]	1.280000e-01	1.276508e-01	1.276507e-01	1.113545e-08
[129,7]	1.290000e-01	1.286425e-01	1.286425e-01	1.149242e-08
[130,7]	1.300000e-01	1.296341e-01	1.296341e-01	1.182868e-08
[131,7]	1.310000e-01	1.306256e-01	1.306256e-01	1.214662e-08
[132,7]	1.320000e-01	1.316170e-01	1.316170e-01	1.244879e-08
[133,7]	1.330000e-01	1.326082e-01	1.326082e-01	1.273781e-08
[134,7]	1.340000e-01	1.335993e-01	1.335993e-01	1.301650e-08
[135,7]	1.350000e-01	1.345903e-01	1.345903e-01	1.328776e-08
